Date/Time,Temp_C,Rel Hum_%,Press_kPa,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std,Anomaly_Score,ML_Anomaly
2012-07-31 16:00:00,28.8,56,100.58,0.0,3.0,-0.0600000000000022,27.24,62.1,100.851,2.2633308787413524,7.837941906733254,0.1641442455109866,0.12529740929955868,0
2012-07-31 17:00:00,28.0,54,100.55,-0.8000000000000007,-2.0,-0.0300000000000011,27.779999999999998,59.9,100.803,1.571835445160853,6.471304179048354,0.1757555120074317,0.1230221104860954,0
2012-07-31 18:00:00,25.3,69,100.53,-2.6999999999999997,15.0,-0.019999999999996,27.89,59.7,100.754,1.310173864627472,6.111010100174542,0.1768363964574669,0.058095460715513414,0
2012-07-31 19:00:00,24.8,67,100.55,-0.5,-2.0,0.019999999999996,27.779999999999998,59.6,100.711,1.5244671200118904,5.966573556069746,0.1678259680635536,0.13390657115030102,0
2012-07-31 20:00:00,22.4,80,100.64,-2.400000000000002,13.0,0.0900000000000034,27.29,61.2,100.678,2.290778615812558,8.766096305906979,0.1416411741800612,0.06745984343257361,0
2012-07-31 21:00:00,22.8,78,100.65,0.4000000000000021,-2.0,0.0100000000000051,26.73,62.7,100.65,2.646192232875545,10.26374417278786,0.1105541596823974,0.13858163783454264,0
2012-07-31 22:00:00,22.8,81,100.57,0.0,3.0,-0.0800000000000125,26.12,64.7,100.62,2.789583800099114,11.73835119975894,0.0809663853484103,0.12261153715891121,0
2012-07-31 23:00:00,21.8,85,100.52,-1.0,4.0,-0.0499999999999971,25.43,67.6,100.593,2.930320422372873,12.877197762798277,0.060378436186792,0.11851728542627082,0
2012-08-01 00:00:00,21.0,93,100.53,-0.8000000000000007,8.0,0.0100000000000051,24.65,71.6,100.576,2.9714381104849443,14.001587211614307,0.0499332888374561,0.10035769469277322,0
2012-08-01 01:00:00,21.0,92,100.54,0.0,-1.0,0.0100000000000051,23.87,75.5,100.566,2.7785087926996264,13.672762867995749,0.0455094617842656,0.1230378977939196,0
2012-08-01 02:00:00,21.3,87,100.55,0.3000000000000007,-5.0,0.0099999999999909,23.12,78.6,100.563,2.264606907267264,12.194716524426129,0.045472824616,0.13512228031745305,0
2012-08-01 03:00:00,20.8,89,100.54,-0.5,2.0,-0.0099999999999909,22.4,82.1,100.562,1.5825436627286864,8.937436868464033,0.0458984386166399,0.14885793109582562,0
2012-08-01 04:00:00,20.8,88,100.57,0.0,-1.0,0.0299999999999869,21.95,84.0,100.566,1.2764969425904642,7.78888096369883,0.0445221542942903,0.14994573702350578,0
2012-08-01 05:00:00,20.8,85,100.58,0.0,-3.0,0.0100000000000051,21.55,85.8,100.569,0.8343327340513119,5.006662228138717,0.0443345864573094,0.15269069063598872,0
2012-08-01 06:00:00,20.4,89,100.62,-0.4000000000000021,4.0,0.0400000000000062,21.35,86.7,100.567,0.8475454756718332,4.64399253516534,0.0411096095917158,0.14132725928158557,0
2012-08-01 07:00:00,20.8,88,100.64,0.4000000000000021,-1.0,0.019999999999996,21.15,87.7,100.566,0.6883958809343521,3.497618237220666,0.0389301368651302,0.14518563759492564,0
2012-08-01 08:00:00,21.2,87,100.65,0.3999999999999986,-1.0,0.0100000000000051,20.99,88.3,100.574,0.3784471194509762,2.626785107313803,0.0471875689928595,0.13640745565390366,0
2012-08-01 09:00:00,22.0,83,100.64,0.8000000000000007,-4.0,-0.0100000000000051,21.01,88.1,100.586,0.4280446497980533,2.9608557321612543,0.047187568992968,0.13045720129218674,0
2012-08-01 10:00:00,24.1,75,100.6,2.1000000000000014,-8.0,-0.0400000000000062,21.32,86.3,100.593,1.066458312983588,4.643992535165322,0.0429599296596375,0.10793907471297409,0
2012-08-01 11:00:00,24.1,69,100.6,0.0,-6.0,0.0,21.63,84.0,100.599,1.3703608608272886,6.733003292241639,0.0387154864324275,0.14270244335014037,0
2012-08-01 12:00:00,25.2,67,100.56,1.099999999999998,-2.0,-0.039999999999992,22.02,82.0,100.6,1.7643380880339352,8.485281374238712,0.0374165738785822,0.14223612359092347,0
2012-08-01 13:00:00,25.7,63,100.51,0.5,-4.0,-0.0499999999999971,22.51,79.4,100.597,2.0458358791561744,9.957688263626084,0.0434741302478711,0.13655030977913263,0
2012-08-01 14:00:00,26.9,63,100.48,1.1999999999999993,0.0,-0.0300000000000011,23.12,76.9,100.588,2.3639890956691443,10.671353137150772,0.0569209978900686,0.12957933376794006,0
2012-08-01 15:00:00,27.3,59,100.46,0.4000000000000021,-4.0,-0.0200000000000102,23.77,74.3,100.576,2.542111982846429,11.605075517969556,0.069952364750055,0.13423450502466377,0
