Date/Time,Temp_C,Rel Hum_%,Press_kPa,Hour,Day,Month,DayOfWeek,IsWeekend,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std
2012-11-20 13:00:00,5.5,63,101.83,13,20,11,1,0,0.9000000000000004,0.0,-0.04999999999999716,0.019999999999997797,78.8,101.976,3.4204613074201813,10.422198531127282,0.06752777208152476
2012-11-20 14:00:00,5.8,59,101.77,14,20,11,1,0,0.2999999999999998,-4.0,-0.060000000000002274,0.8899999999999977,75.8,101.951,3.6909649445944432,11.42900792817256,0.09146341103309509
2012-11-20 15:00:00,5.9,59,101.77,15,20,11,1,0,0.10000000000000053,0.0,0.0,1.7699999999999978,72.8,101.928,3.735728398407641,11.516172203567935,0.10559882155273666
2012-11-20 16:00:00,5.6,60,101.78,16,20,11,1,0,-0.3000000000000007,1.0,0.010000000000005116,2.619999999999998,70.1,101.905,3.5156159567788445,10.969148655307317,0.11067971811573057
2012-11-20 17:00:00,4.2,72,101.79,17,20,11,1,0,-1.3999999999999995,12.0,0.010000000000005116,3.379999999999998,68.6,101.88199999999999,2.822843326230976,9.299940262652052,0.10799176924359646
2012-11-20 18:00:00,2.4,79,101.82,18,20,11,1,0,-1.8000000000000003,7.0,0.029999999999986926,3.819999999999998,68.1,101.861,2.1549941995286725,8.478076301719955,0.09573690802225225
2012-11-20 19:00:00,1.9,80,101.85,19,20,11,1,0,-0.5,1.0,0.030000000000001137,4.079999999999997,68.0,101.845,1.645735229144291,8.313309275560416,0.08017342315167193
2012-11-20 20:00:00,3.4,68,101.86,20,20,11,1,0,1.5,-12.0,0.010000000000005116,4.229999999999998,67.2,101.83099999999999,1.4855227287995003,7.828722046981645,0.05971227309031052
2012-11-20 21:00:00,1.9,73,101.84,21,20,11,1,0,-1.5,5.0,-0.01999999999999602,4.119999999999997,67.6,101.81899999999999,1.6212478047623082,8.030497424748765,0.03956710196100356
2012-11-20 22:00:00,1.9,74,101.81,22,20,11,1,0,0.0,1.0,-0.030000000000001137,3.849999999999998,68.7,101.81199999999998,1.7519830034696857,8.0835910611839,0.033266599896776355
2012-11-20 23:00:00,2.0,73,101.83,23,20,11,1,0,0.10000000000000009,-1.0,0.01999999999999602,3.4999999999999973,69.7,101.812,1.7352553446433758,7.916929820188236,0.033266599896776355
2012-11-21 00:00:00,3.1,69,101.8,0,21,11,2,0,1.1,-4.0,-0.030000000000001137,3.2299999999999978,70.7,101.81500000000001,1.5362653127352248,6.992853494819416,0.03027650357450537
2012-11-21 01:00:00,0.6000000000000001,81,101.82,1,21,11,2,0,-2.5,12.0,0.01999999999999602,2.699999999999998,72.9,101.82000000000001,1.4228297313617333,6.332456079595691,0.025819889014189173
2012-11-21 02:00:00,0.4,81,101.82,2,21,11,2,0,-0.20000000000000007,0.0,0.0,2.179999999999998,75.0,101.824,1.173598454896691,4.898979485567249,0.02170509417523683
2012-11-21 03:00:00,-0.7000000000000001,83,101.83,3,21,11,2,0,-1.1,2.0,0.010000000000005116,1.6899999999999977,76.1,101.828,1.2564942410454762,5.363456596885592,0.01813529406820234
2012-11-21 04:00:00,-1.9,87,101.85,4,21,11,2,0,-1.1999999999999997,4.0,0.01999999999999602,1.2599999999999978,76.9,101.83099999999999,1.658111375431727,6.3499781276970735,0.01911950725336856
2012-11-21 05:00:00,-1.4,86,101.86,5,21,11,2,0,0.5,-1.0,0.010000000000005116,0.9299999999999977,77.5,101.83200000000001,1.8354835875057094,6.932211447695795,0.02043961300600976
2012-11-21 06:00:00,-1.6,86,101.92,6,21,11,2,0,-0.20000000000000018,0.0,0.060000000000002274,0.42999999999999794,79.3,101.838,1.7676412406250566,6.51579278028122,0.03392802843046436
2012-11-21 07:00:00,-0.1,82,102.0,7,21,11,2,0,1.5,-4.0,0.0799999999999983,0.2299999999999979,80.2,101.854,1.69446812369699,6.160808027812991,0.061499774181009846
2012-11-21 08:00:00,0.4,83,102.01,8,21,11,2,0,0.5,1.0,0.010000000000005116,0.07999999999999789,81.1,101.874,1.5935983043284663,5.801340841181902,0.076332605541746
2012-11-21 09:00:00,2.9,72,102.01,9,21,11,2,0,2.5,-11.0,0.0,0.16999999999999788,81.0,101.892,1.73336538431992,5.962847940000241,0.08547904227832942
2012-11-21 10:00:00,5.2,62,101.98,10,21,11,2,0,2.3000000000000003,-10.0,-0.030000000000001137,0.3799999999999979,80.3,101.91,2.1938297310620607,7.689097620802567,0.08286535264420869
2012-11-21 11:00:00,6.3,63,101.93,11,21,11,2,0,1.0999999999999996,1.0,-0.04999999999999716,0.9499999999999978,78.5,101.921,2.88800200061537,9.419247433963685,0.07665941996171377
2012-11-21 12:00:00,7.2,58,101.89,12,21,11,2,0,0.9000000000000004,-5.0,-0.04000000000000625,1.629999999999998,76.2,101.92800000000001,3.4833094098065893,11.350966674449072,0.06924994987555085
2012-11-21 13:00:00,7.4,57,101.89,13,21,11,2,0,0.20000000000000018,-1.0,0.0,2.4399999999999977,73.6,101.934,3.8079449108997045,12.536169891779714,0.06203941401326316
2012-11-21 14:00:00,8.3,50,101.86,14,21,11,2,0,0.9000000000000004,-7.0,-0.030000000000001137,3.459999999999998,69.9,101.935,3.881637684162886,13.56015404697845,0.06059886322732407
2012-11-21 15:00:00,8.2,48,101.87,15,21,11,2,0,-0.10000000000000142,-2.0,0.010000000000005116,4.419999999999997,66.1,101.936,3.730296383816333,13.868028779254464,0.05929212053703928
2012-11-21 16:00:00,5.5,61,101.86,16,21,11,2,0,-2.6999999999999993,13.0,-0.010000000000005116,5.129999999999998,63.6,101.93,3.0753680899838383,12.011105971835992,0.06394442032814739
2012-11-21 17:00:00,2.8,71,101.85,17,21,11,2,0,-2.7,10.0,-0.010000000000005116,5.419999999999998,62.5,101.915,2.6321938462898844,10.554093465992063,0.06328945850413012
2012-11-21 18:00:00,2.1,80,101.89,18,21,11,2,0,-0.6999999999999997,9.0,0.04000000000000625,5.589999999999998,62.2,101.903,2.3067292862409876,9.930872178325005,0.05396500925964616
2012-11-21 19:00:00,2.5,79,101.89,19,21,11,2,0,0.3999999999999999,-1.0,0.0,5.549999999999998,62.9,101.891,2.36137906976262,10.898012051134565,0.03871548644975948
2012-11-21 20:00:00,1.4,85,101.9,20,21,11,2,0,-1.1,6.0,0.010000000000005116,5.169999999999998,65.2,101.88300000000001,2.704748910096575,12.925427136720645,0.02359378453759994
2012-11-21 21:00:00,2.2,82,101.88,21,21,11,2,0,0.8000000000000003,-3.0,-0.020000000000010232,4.759999999999998,67.1,101.878,2.8226071478534065,13.924000063838903,0.016865480917441972
